xkoord,ykoord,kinder,random
8.504142761,47.32172961,0,0.38341033
8.503693603,47.32203409,0,0.800161937
8.504142761,47.32203409,0,0.222222955
8.504591918,47.32203409,0,0.510731325
8.505041076,47.32203409,0,0.391798956
8.503244445,47.32233856,0,0.270051119
8.503693603,47.32233856,0,0.934177231
8.504142761,47.32233856,0,0.929331509
8.504591918,47.32233856,0,0.147189413
8.505041076,47.32233856,0,0.34394167
8.505490234,47.32233856,0,0.06273608
8.502795288,47.32264303,0,0.212331638
8.503244445,47.32264303,0,0.416456372
8.503693603,47.32264303,0,0.808614222
8.504142761,47.32264303,0,0.544299236
8.504591918,47.32264303,0,0.080783491
8.505041076,47.32264303,0,0.161082048
8.505490234,47.32264303,0,0.877604832
8.505939391,47.32264303,0,0.780292387
8.502795288,47.3229475,0,0.603106282
8.503244445,47.3229475,0,0.403159966
8.503693603,47.3229475,0,0.410999135
8.504142761,47.3229475,0,0.385354554
8.504591918,47.3229475,0,0.654973199
8.505041076,47.3229475,0,0.817103772
8.505490234,47.3229475,0,0.176757578
8.505939391,47.3229475,0,0.087115361
8.506388549,47.3229475,0,0.347173787
8.506837707,47.3229475,0,0.609324195
8.507286864,47.3229475,0,0.075088343
8.50234613,47.32325197,0,0.091677805
8.502795288,47.32325197,0,0.76189121
8.503244445,47.32325197,0,0.619945625
8.503693603,47.32325197,0,0.105378272
8.504142761,47.32325197,0,0.828501676
8.504591918,47.32325197,0,0.203693735
8.505041076,47.32325197,0,0.938304381
8.505490234,47.32325197,0,0.626444539
8.505939391,47.32325197,0,0.947098596
8.506388549,47.32325197,0,0.837637903
8.506837707,47.32325197,0,0.63333444
8.507286864,47.32325197,0,0.920001132
8.507736022,47.32325197,0,0.135125265
8.508185179,47.32325197,0,0.900950779
8.508634337,47.32325197,0,0.672031131
8.50998181,47.32325197,0.01252153,0.122058893
8.510430968,47.32325197,0.03193086,0.539943559
8.50234613,47.32355643,0,0.878491647
8.502795288,47.32355643,0,0.89379882
8.503244445,47.32355643,0,0.818221753
8.503693603,47.32355643,0,0.01472595
8.504142761,47.32355643,0,0.227307717
8.504591918,47.32355643,0,0.148292068
8.505041076,47.32355643,0,0.634504226
8.505490234,47.32355643,0,0.09557684
8.505939391,47.32355643,0,0.990263741
8.506388549,47.32355643,0,0.792469771
8.506837707,47.32355643,0,0.41116684
8.507286864,47.32355643,0,0.833812458
8.507736022,47.32355643,0,0.740269702
8.508185179,47.32355643,0.00172161,0.337601031
8.508634337,47.32355643,0.005724,0.332535687
8.509083495,47.32355643,0.01823731,0.905086021
8.509532652,47.32355643,0.04208411,0.315005426
8.50998181,47.32355643,0.05605325,0.536083592
8.510430968,47.32355643,0.08574203,0.19503717
8.510880125,47.32355643,0.09703165,0.817798751
8.511329283,47.32355643,0.10510939,0.475781202
8.511778441,47.32355643,0.099735,0.645783281
8.512227598,47.32355643,0.11307926,0.768485975
8.50234613,47.3238609,0,0.966405398
