xkoord,ykoord,kinder
8.504142761,47.32172961,0
8.503693603,47.32203409,0
8.504142761,47.32203409,0
8.504591918,47.32203409,0
8.505041076,47.32203409,0
8.503244445,47.32233856,0
8.503693603,47.32233856,0
8.504142761,47.32233856,0
8.504591918,47.32233856,0
8.505041076,47.32233856,0
8.505490234,47.32233856,0
8.502795288,47.32264303,0
8.503244445,47.32264303,0
8.503693603,47.32264303,0
8.504142761,47.32264303,0
8.504591918,47.32264303,0
8.505041076,47.32264303,0
8.505490234,47.32264303,0
8.505939391,47.32264303,0
8.502795288,47.3229475,0
8.503244445,47.3229475,0
8.503693603,47.3229475,0
8.504142761,47.3229475,0
8.504591918,47.3229475,0
8.505041076,47.3229475,0
8.505490234,47.3229475,0
8.505939391,47.3229475,0
8.506388549,47.3229475,0
8.506837707,47.3229475,0
8.507286864,47.3229475,0
8.50234613,47.32325197,0
8.502795288,47.32325197,0
8.503244445,47.32325197,0
8.503693603,47.32325197,0
8.504142761,47.32325197,0
8.504591918,47.32325197,0
8.505041076,47.32325197,0
8.505490234,47.32325197,0
8.505939391,47.32325197,0
8.506388549,47.32325197,0
8.506837707,47.32325197,0
8.507286864,47.32325197,0
8.507736022,47.32325197,0
8.508185179,47.32325197,0
8.508634337,47.32325197,0
8.50998181,47.32325197,0.01252153
8.510430968,47.32325197,0.03193086
8.50234613,47.32355643,0
8.502795288,47.32355643,0
8.503244445,47.32355643,0
8.503693603,47.32355643,0
8.504142761,47.32355643,0
8.504591918,47.32355643,0
8.505041076,47.32355643,0
8.505490234,47.32355643,0
8.505939391,47.32355643,0
8.506388549,47.32355643,0
8.506837707,47.32355643,0
8.507286864,47.32355643,0
8.507736022,47.32355643,0
8.508185179,47.32355643,0.00172161
8.508634337,47.32355643,0.005724
8.509083495,47.32355643,0.01823731
8.509532652,47.32355643,0.04208411
8.50998181,47.32355643,0.05605325
8.510430968,47.32355643,0.08574203
8.510880125,47.32355643,0.09703165
8.511329283,47.32355643,0.10510939
8.511778441,47.32355643,0.099735
8.512227598,47.32355643,0.11307926
8.50234613,47.3238609,0
8.502795288,47.3238609,0
8.503244445,47.3238609,0
8.503693603,47.3238609,0
8.504142761,47.3238609,0
8.504591918,47.3238609,0
8.505041076,47.3238609,0
8.505490234,47.3238609,0
8.505939391,47.3238609,0
8.506388549,47.3238609,0
8.506837707,47.3238609,0
8.507286864,47.3238609,0
8.507736022,47.3238609,0.00172161
8.508185179,47.3238609,0.01103594
8.508634337,47.3238609,0.02696574
8.509083495,47.3238609,0.04740903
8.509532652,47.3238609,0.0866326
8.50998181,47.3238609,0.11348595
8.510430968,47.3238609,0.1381364
8.510880125,47.3238609,0.1481999
8.511329283,47.3238609,0.16679926
8.511778441,47.3238609,0.17350312
8.512227598,47.3238609,0.19217859
8.512676756,47.3238609,0.18799841
8.513125914,47.3238609,0.19184716
8.501896973,47.32416536,0
8.50234613,47.32416536,0
8.502795288,47.32416536,0
8.503244445,47.32416536,0
8.503693603,47.32416536,0
8.504142761,47.32416536,0
8.504591918,47.32416536,0
8.505041076,47.32416536,0
8.505490234,47.32416536,0
8.505939391,47.32416536,0
8.506388549,47.32416536,0
8.506837707,47.32416536,0
8.507286864,47.32416536,0
8.507736022,47.32416536,0.00744561
8.508185179,47.32416536,0.02194799
8.508634337,47.32416536,0.03861842
8.509083495,47.32416536,0.09636965
8.509532652,47.32416536,0.13201594
8.50998181,47.32416536,0.16323052
8.510430968,47.32416536,0.21335673
8.510880125,47.32416536,0.23791111
8.511329283,47.32416536,0.24816057
8.511778441,47.32416536,0.28446651
8.512227598,47.32416536,0.28595126
8.512676756,47.32416536,0.29905927
8.513125914,47.32416536,0.29726738
8.513575071,47.32416536,0.28497621
8.515371702,47.32416536,0.33824661
8.515820859,47.32416536,0.39200926
8.501896973,47.32446982,0
8.50234613,47.32446982,0
8.502795288,47.32446982,0
