xkoord,ykoord,kinder
8.50055,47.43548,0
8.50145,47.43548,0
8.50235,47.43548,0
8.50324,47.43548,0
8.50414,47.43548,0
8.49875,47.43487,0
8.49965,47.43487,0
8.50055,47.43487,0
8.50145,47.43487,0
8.50235,47.43487,0
8.50324,47.43487,0
8.50414,47.43487,0
8.50504,47.43487,0
8.50594,47.43487,0
8.49696,47.43427,0
8.49785,47.43427,0
8.49875,47.43427,0
8.49965,47.43427,0
8.50055,47.43427,0
8.50145,47.43427,0
8.50235,47.43427,0
8.50324,47.43427,0
8.50414,47.43427,0
8.50504,47.43427,0
8.50594,47.43427,0
8.50684,47.43427,0
8.50774,47.43427,0
8.5266,47.43427,0
8.5275,47.43427,0
8.49426,47.43366,0
8.49516,47.43366,0
8.49606,47.43366,0
8.49696,47.43366,0
8.49785,47.43366,0
8.49875,47.43366,0
8.49965,47.43366,0
8.50055,47.43366,0
8.50145,47.43366,0
8.50235,47.43366,0
8.50324,47.43366,0
8.50414,47.43366,0
8.50504,47.43366,0
8.50594,47.43366,0
8.50684,47.43366,0
8.50774,47.43366,0
8.50863,47.43366,0
8.50953,47.43366,0
8.51043,47.43366,0
8.5266,47.43366,0
8.5275,47.43366,0
8.5284,47.43366,0
8.5293,47.43366,0
8.53019,47.43366,0
8.53109,47.43366,0
8.53199,47.43366,0
8.53289,47.43366,0
8.53379,47.43366,0
8.53469,47.43366,0
8.54457,47.43366,1.827299953
8.54547,47.43366,1.862100005
8.54636,47.43366,1.67750001
8.49067,47.43305,0
8.49157,47.43305,0
8.49246,47.43305,0
8.49336,47.43305,0
8.49426,47.43305,0
8.49516,47.43305,0
8.49606,47.43305,0
8.49696,47.43305,0
8.49785,47.43305,0
8.49875,47.43305,0
8.49965,47.43305,0
8.50055,47.43305,0
8.50145,47.43305,0
8.50235,47.43305,0
8.50324,47.43305,0
8.50414,47.43305,0
8.50504,47.43305,0
8.50594,47.43305,0
8.50684,47.43305,0
8.50774,47.43305,0
8.50863,47.43305,0
8.50953,47.43305,0
8.51043,47.43305,0
8.51133,47.43305,0
8.51672,47.43305,0
8.51852,47.43305,0
8.51941,47.43305,0
8.52031,47.43305,0
8.5257,47.43305,0
8.5266,47.43305,0
8.5275,47.43305,0
8.5284,47.43305,0
8.5293,47.43305,0
8.53019,47.43305,0
8.53109,47.43305,0
8.53199,47.43305,0
8.53289,47.43305,0
8.53379,47.43305,0
8.53469,47.43305,0
8.53558,47.43305,0.0274
8.53648,47.43305,0.1153
8.53738,47.43305,0.365099996
8.54097,47.43305,2.208400011
8.54187,47.43305,2.757499933
8.54277,47.43305,3.168800116
8.54457,47.43305,3.872100115
8.54547,47.43305,3.827300072
8.54636,47.43305,3.405999899
8.54726,47.43305,2.865099907
8.54816,47.43305,2.001499891
8.48707,47.43244,0
8.48797,47.43244,0
8.48887,47.43244,0
8.48977,47.43244,0
8.49067,47.43244,0
8.49157,47.43244,0
8.49246,47.43244,0
8.49336,47.43244,0
8.49426,47.43244,0
8.49516,47.43244,0
8.49606,47.43244,0
8.49696,47.43244,0
8.49785,47.43244,0
8.49875,47.43244,0
8.49965,47.43244,0
8.50055,47.43244,0
8.50145,47.43244,0
8.50235,47.43244,0
8.50324,47.43244,0
8.50414,47.43244,0
8.50504,47.43244,0
8.50594,47.43244,0
8.50684,47.43244,0
8.50774,47.43244,0
8.50863,47.43244,0
8.50953,47.43244,0
8.51043,47.43244,0
8.51133,47.43244,0
8.51223,47.43244,0
8.51492,47.43244,0
8.51582,47.43244,0
8.51672,47.43244,0
8.51762,47.43244,0
8.51852,47.43244,0
8.51941,47.43244,0
8.52031,47.43244,0
8.52121,47.43244,0
8.52211,47.43244,0
8.52301,47.43244,0
8.52391,47.43244,0
8.5248,47.43244,0
8.5257,47.43244,0
8.5266,47.43244,0
8.5275,47.43244,0
8.5284,47.43244,0
8.5293,47.43244,0
8.53019,47.43244,0
8.53109,47.43244,0
8.53199,47.43244,0
8.53289,47.43244,0
8.53379,47.43244,0
8.53469,47.43244,0
8.53558,47.43244,0.0491
8.53648,47.43244,0.2685
8.53738,47.43244,0.570800006
8.53828,47.43244,1.042299986
8.53918,47.43244,1.70449996
8.54008,47.43244,2.469099998
8.54097,47.43244,3.328500032
8.54187,47.43244,4.053899765
8.54277,47.43244,4.828499794
8.54367,47.43244,5.518799782
8.54457,47.43244,5.920499802
8.54547,47.43244,6.130899906
8.54636,47.43244,5.601200104
8.54726,47.43244,4.579999924
8.54816,47.43244,3.299700022
8.54906,47.43244,1.944700003
8.54996,47.43244,0.766300023
8.55086,47.43244,0.173099995
8.55175,47.43244,0
8.55265,47.43244,0
8.48618,47.43183,0
8.48707,47.43183,0
8.48797,47.43183,0
8.48887,47.43183,0
8.48977,47.43183,0
8.49067,47.43183,0
8.49157,47.43183,0
8.49246,47.43183,0
8.49336,47.43183,0
8.49426,47.43183,0
8.49516,47.43183,0
8.49606,47.43183,0
8.49696,47.43183,0
8.49785,47.43183,0
8.49875,47.43183,0
8.49965,47.43183,0
8.50055,47.43183,0
8.50145,47.43183,0
8.50235,47.43183,0
8.50324,47.43183,0
8.50414,47.43183,0
8.50504,47.43183,0
8.50594,47.43183,0
8.50684,47.43183,0
8.50774,47.43183,0
8.50863,47.43183,0
8.50953,47.43183,0
8.51043,47.43183,0
8.51133,47.43183,0
8.51223,47.43183,0
8.51313,47.43183,0
8.51402,47.43183,0
8.51492,47.43183,0
8.51582,47.43183,0
8.51672,47.43183,0
8.51762,47.43183,0
8.51852,47.43183,0
8.51941,47.43183,0
8.52031,47.43183,0
8.52121,47.43183,0
8.52211,47.43183,0
8.52301,47.43183,0
8.52391,47.43183,0
8.5248,47.43183,0
8.5257,47.43183,0
8.5266,47.43183,0
8.5275,47.43183,0
8.5284,47.43183,0
8.5293,47.43183,0
8.53019,47.43183,0
8.53109,47.43183,0
8.53199,47.43183,0
8.53289,47.43183,0
8.53379,47.43183,0
8.53469,47.43183,0.028000001
8.53558,47.43183,0.106299996
8.53648,47.43183,0.304399997
8.53738,47.43183,0.809099972
8.53828,47.43183,1.297500014
8.53918,47.43183,2.061500072
8.54008,47.43183,2.92050004
8.54097,47.43183,3.9848001
8.54187,47.43183,5.049699783
8.54277,47.43183,6.115499973
8.54367,47.43183,7.110099792
8.54457,47.43183,8.135000229
8.54547,47.43183,8.256099701
8.54636,47.43183,7.670599937
8.54726,47.43183,6.258200169
8.54816,47.43183,4.426400185
8.54906,47.43183,2.688699961
8.54996,47.43183,1.322900057
8.55086,47.43183,0.363299996
8.55175,47.43183,0.062899999
8.55265,47.43183,0.031399999
8.55355,47.43183,0.0266
8.55445,47.43183,0.156599998
8.55535,47.43183,0.091200002
8.55625,47.43183,0.082000002
8.48528,47.43123,0
8.48618,47.43123,0
8.48707,47.43123,0
8.48797,47.43123,0
8.48887,47.43123,0
8.48977,47.43123,0
8.49067,47.43123,0
