Ereignisjahr,KontinentK,HeimatK,Anzahl
1996,Europa,"Serbien, Montenegro und Kosovo",336
1996,Europa,Spanien,76
1996,Europa,Türkei,127
1996,Ozeanien,Australien,2
1996,Ozeanien,Fidschi Inseln,0
1996,Ozeanien,Neuseeland,0
1996,Ozeanien,Tonga,0
1996,Schweiz,Schweiz,1960
1997,Afrika,Algerien,4
1997,Afrika,Angola,8
1997,Afrika,Äthiopien,4
1997,Afrika,Dem. Republik Kongo,1
1997,Afrika,Eritrea,1
1997,Afrika,Ghana,4
1997,Afrika,Marokko,5
1997,Afrika,Nigeria,3
1997,Afrika,Somalia,28
1997,Afrika,Tunesien,8
1997,Amerika,Argentinien,0
1997,Amerika,Brasilien,5
1997,Amerika,Chile,4
1997,Amerika,Dominikanische Republik,12
1997,Amerika,Kanada,1
1997,Amerika,Kolumbien,1
1997,Amerika,Kuba,0
1997,Amerika,Mexico,0
1997,Amerika,Peru,2
1997,Amerika,USA,17
1997,Asien,Bangla Desh,2
1997,Asien,China (Volksrepublik China),7
1997,Asien,Indien,8
1997,Asien,Irak,7
1997,Asien,Iran,12
1997,Asien,Libanon,11
1997,Asien,Pakistan,11
1997,Asien,Philippinen,7
1997,Asien,Sri Lanka,169
1997,Asien,Thailand,4
1997,Europa,Bosnien-Herzegowina,48
1997,Europa,Deutschland,70
1997,Europa,Grossbritannien,16
1997,Europa,Italien,171
1997,Europa,Kroatien,38
1997,Europa,Mazedonien,56
1997,Europa,Portugal,150
1997,Europa,"Serbien, Montenegro und Kosovo",323
1997,Europa,Spanien,92
1997,Europa,Türkei,96
1997,Ozeanien,Australien,2
1997,Ozeanien,Fidschi Inseln,1
1997,Ozeanien,Neuseeland,1
1997,Ozeanien,Tonga,0
1997,Schweiz,Schweiz,1943
1998,Afrika,Algerien,4
1998,Afrika,Angola,6
1998,Afrika,Äthiopien,1
1998,Afrika,Dem. Republik Kongo,2
1998,Afrika,Eritrea,0
1998,Afrika,Ghana,5
1998,Afrika,Marokko,5
1998,Afrika,Nigeria,1
1998,Afrika,Somalia,41
1998,Afrika,Tunesien,4
1998,Amerika,Argentinien,0
1998,Amerika,Brasilien,5
1998,Amerika,Chile,6
1998,Amerika,Dominikanische Republik,18
1998,Amerika,Kanada,3
1998,Amerika,Kolumbien,1
1998,Amerika,Kuba,1
1998,Amerika,Mexico,0
1998,Amerika,Peru,0
1998,Amerika,USA,8
1998,Asien,Bangla Desh,2
1998,Asien,China (Volksrepublik China),5
1998,Asien,Indien,11
