Ereignisjahr,KontinentK,HeimatK,Anzahl
2012,Afrika,Äthiopien,5
2012,Afrika,Dem. Republik Kongo,1
2012,Afrika,Eritrea,38
2012,Afrika,Ghana,3
2012,Afrika,Marokko,4
2012,Afrika,Nigeria,4
2012,Afrika,Somalia,23
2012,Afrika,Tunesien,4
2012,Amerika,Argentinien,1
2012,Amerika,Brasilien,9
2012,Amerika,Chile,2
2012,Amerika,Dominikanische Republik,13
2012,Amerika,Kanada,8
2012,Amerika,Kolumbien,1
2012,Amerika,Kuba,1
2012,Amerika,Mexico,1
2012,Amerika,Peru,1
2012,Amerika,USA,39
2012,Asien,Bangla Desh,32
2012,Asien,China (Volksrepublik China),22
2012,Asien,Indien,34
2012,Asien,Irak,15
2012,Asien,Iran,2
2012,Asien,Libanon,8
2012,Asien,Pakistan,5
2012,Asien,Philippinen,6
2012,Asien,Sri Lanka,21
2012,Asien,Thailand,3
2012,Europa,Bosnien-Herzegowina,10
2012,Europa,Deutschland,447
2012,Europa,Grossbritannien,55
2012,Europa,Italien,81
2012,Europa,Kroatien,8
2012,Europa,Mazedonien,42
2012,Europa,Portugal,81
2012,Europa,"Serbien, Montenegro und Kosovo",103
2012,Europa,Spanien,46
2012,Europa,Türkei,42
2012,Ozeanien,Australien,5
2012,Ozeanien,Fidschi Inseln,0
2012,Ozeanien,Neuseeland,1
2012,Ozeanien,Tonga,0
2012,Schweiz,Schweiz,3139
2013,Afrika,Algerien,2
2013,Afrika,Angola,1
2013,Afrika,Äthiopien,6
2013,Afrika,Dem. Republik Kongo,0
2013,Afrika,Eritrea,58
2013,Afrika,Ghana,3
2013,Afrika,Marokko,5
2013,Afrika,Nigeria,2
2013,Afrika,Somalia,17
2013,Afrika,Tunesien,10
2013,Amerika,Argentinien,0
2013,Amerika,Brasilien,10
2013,Amerika,Chile,2
2013,Amerika,Dominikanische Republik,15
2013,Amerika,Kanada,1
2013,Amerika,Kolumbien,2
2013,Amerika,Kuba,0
2013,Amerika,Mexico,0
2013,Amerika,Peru,2
2013,Amerika,USA,35
2013,Asien,Bangla Desh,0
2013,Asien,China (Volksrepublik China),0
2013,Asien,Indien,46
2013,Asien,Irak,9
2013,Asien,Iran,5
2013,Asien,Libanon,2
2013,Asien,Pakistan,10
2013,Asien,Philippinen,2
2013,Asien,Sri Lanka,19
2013,Asien,Thailand,4
2013,Europa,Bosnien-Herzegowina,0
2013,Europa,Deutschland,507
2013,Europa,Grossbritannien,45
2013,Europa,Italien,83
2013,Europa,Kroatien,7
2013,Europa,Mazedonien,24
2013,Europa,Portugal,101
2013,Europa,"Serbien, Montenegro und Kosovo",91
2013,Europa,Spanien,56
2013,Europa,Türkei,46
2013,Ozeanien,Australien,3
2013,Ozeanien,Fidschi Inseln,0
2013,Ozeanien,Neuseeland,2
2013,Ozeanien,Tonga,0
2013,Schweiz,Schweiz,3295
