Jahr,Geschlecht,statistischeZoneId,statistischeZoneName,Geburten
1993,männlich,12101,Hagenholz,9
1993,männlich,7303,Hegibachplatz,12
2014,männlich,7101,Heubeeriweg,11
2014,männlich,6107,Guggachstrasse,13
1993,männlich,9208,Hardhof,5
2014,männlich,7303,Hegibachplatz,26
1993,männlich,4405,Güterbahnhof,12
2014,männlich,4405,Güterbahnhof,26
2014,männlich,12101,Hagenholz,9
1993,männlich,11509,Gorwiden,9
2014,männlich,9212,Grimselstrasse,18
1993,männlich,10107,Grossmannstrasse,8
2014,männlich,3101,Höfliweg,26
1993,männlich,8201,Holbeinstrasse,4
2014,männlich,12302,Hirzenbachstrasse,27
1993,männlich,3101,Höfliweg,21
1993,männlich,11904,Höhenring,20
1993,männlich,11502,Holunderhof,7
2014,männlich,2301,Höckler,7
2014,männlich,11908,Grünhaldenstrasse,12
2014,männlich,11106,Hürststrasse,26
2014,männlich,7406,Im Trichtisal,7
2014,männlich,9208,Hardhof,8
2014,männlich,5201,Hardturm,14
1993,männlich,7101,Heubeeriweg,6
1993,männlich,3301,Heuried,4
2014,männlich,3301,Heuried,11
1993,männlich,12302,Hirzenbachstrasse,10
1993,männlich,10103,Imbisbühlstrasse,8
2014,männlich,11502,Holunderhof,9
1993,männlich,10102,Hönggerberg,9
1993,männlich,3405,Idaplatz,16
2014,männlich,10202,Im Sydefädeli,18
2014,männlich,9102,In den Rütenen,20
1993,männlich,9105,In der Ey,12
1993,männlich,8204,In der Mühle,4
2014,männlich,8204,In der Mühle,5
2014,männlich,9105,In der Ey,16
1993,männlich,6109,Irchel,11
1993,männlich,2301,Höckler,9
2014,männlich,11904,Höhenring,32
2014,männlich,8201,Holbeinstrasse,14
2014,männlich,5105,Johannesgasse,9
2014,männlich,9215,Juchhof,7
2014,männlich,2103,Jugendherberge,12
1993,männlich,4101,Kalkbreite,16
2014,männlich,7204,Kinderspital,14
1993,männlich,7302,Klusplatz,3
2014,männlich,10103,Imbisbühlstrasse,25
1993,männlich,9102,In den Rütenen,16
1993,männlich,5101,Josefswiese,9
1993,männlich,6102,Kiefernweg,10
1993,männlich,7204,Kinderspital,9
2014,männlich,2402,Kongresshaus,6
1993,männlich,11901,Köschenrüti,11
2014,männlich,5204,KV-Business School,1
1993,männlich,10207,Letten,11
2014,männlich,10207,Letten,12
2014,männlich,5101,Josefswiese,8
2014,männlich,6102,Kiefernweg,7
2014,männlich,10102,Hönggerberg,16
1993,männlich,11106,Hürststrasse,7
2014,männlich,3405,Idaplatz,22
1993,männlich,10202,Im Sydefädeli,15
1993,männlich,7406,Im Trichtisal,11
1993,männlich,9214,Letzigrund,10
2014,männlich,9214,Letzigrund,12
2014,männlich,6302,Letzistrasse,9
1993,männlich,11909,Leutschenbach,4
2014,männlich,9202,Loogartenstrasse,12
1993,männlich,2402,Kongresshaus,3
1993,männlich,5106,Konradstrasse,4
2014,männlich,6109,Irchel,11
1993,männlich,5105,Johannesgasse,6
1993,männlich,2103,Jugendherberge,13
2014,männlich,4404,Lochergut,10
1993,männlich,9202,Loogartenstrasse,11
1993,männlich,3104,Manesseplatz,22
1993,männlich,9107,Letzigraben,4
2014,männlich,9107,Letzigraben,16
1993,männlich,6302,Letzistrasse,6
1993,männlich,2302,Mahrbachweg,6
2014,männlich,2302,Mahrbachweg,10
2014,männlich,4101,Kalkbreite,17
2014,männlich,11101,Katzensee,29
2014,männlich,7302,Klusplatz,15
2014,männlich,11909,Leutschenbach,16
1993,männlich,7404,Loorenstrasse,2
2014,männlich,7205,Merkurplatz,11
2014,männlich,3104,Manesseplatz,30
1993,männlich,11504,Marktplatz Oerlikon,7
1993,männlich,12303,Mattenhof,20
2014,männlich,11506,Messegelände,15
2014,männlich,2104,Morgental,9
1993,männlich,9106,Mühlezelgstrasse,11
2014,männlich,5106,Konradstrasse,5
2014,männlich,11901,Köschenrüti,22
1993,männlich,12301,Kronwiesenstrasse,6
2014,männlich,12301,Kronwiesenstrasse,6
1993,männlich,4404,Lochergut,7
1993,männlich,11507,Magdalenenstrasse,14
2014,männlich,11504,Marktplatz Oerlikon,14
1993,männlich,2104,Morgental,7
2014,männlich,9106,Mühlezelgstrasse,13
2014,männlich,1302,Münsterhof,1
1993,männlich,2108,Neubühl,13
2014,männlich,2108,Neubühl,14
1993,männlich,2404,Museum Rietberg,17
2014,männlich,2404,Museum Rietberg,25
2014,männlich,11507,Magdalenenstrasse,7
2014,männlich,12303,Mattenhof,27
1993,männlich,7205,Merkurplatz,12
1993,männlich,11506,Messegelände,7
1993,männlich,5104,Museum für Gestaltung,1
2014,männlich,5104,Museum für Gestaltung,2
2014,männlich,5203,Neue Hard,7
2014,männlich,8301,Neumünster,5
1993,männlich,1104,Oberdorf,3
1993,männlich,2401,Parkring,4
2014,männlich,2401,Parkring,11
1993,männlich,12304,Probsteistrasse,7
1993,männlich,1302,Münsterhof,2
1993,männlich,11510,Murwiesenstrasse,3
2014,männlich,11510,Murwiesenstrasse,4
2014,männlich,1104,Oberdorf,1
2014,männlich,7206,Pflegerinnenschule,9
1993,männlich,7105,Platte,9
1993,männlich,7206,Pflegerinnenschule,2
2014,männlich,7105,Platte,6
1993,männlich,8304,Rehalp,10
1993,männlich,5203,Neue Hard,2
1993,männlich,8301,Neumünster,1
1993,männlich,4402,Norastrasse,13
2014,männlich,4402,Norastrasse,14
2014,männlich,6101,Nordheim,4
1993,männlich,6303,Ottikerstrasse,9
2014,männlich,6303,Ottikerstrasse,9
2014,männlich,12304,Probsteistrasse,3
1993,männlich,6104,Radio-Studio,4
2014,männlich,6104,Radio-Studio,6
2014,männlich,11903,Rickenstrasse,13
1993,männlich,10101,Riedhof,11
1993,männlich,5102,Quellenstrasse,21
2014,männlich,5102,Quellenstrasse,26
1993,männlich,11107,Reckenholz,21
2014,männlich,8304,Rehalp,5
1993,männlich,2405,Rieterplatz,11
1993,männlich,10204,Rosengartenstrasse,7
1993,männlich,8202,Riesbachstrasse,3
2014,männlich,8202,Riesbachstrasse,7
2014,männlich,2405,Rieterplatz,27
2014,männlich,6307,Rigiblick,2
1993,männlich,6306,Rigistrasse,7
1993,männlich,10205,Röschibachstrasse,15
2014,männlich,11107,Reckenholz,14
1993,männlich,11903,Rickenstrasse,9
2014,männlich,10101,Riedhof,11
1993,männlich,6307,Rigiblick,2
2014,männlich,6306,Rigistrasse,18
2014,männlich,10204,Rosengartenstrasse,18
2014,männlich,10205,Röschibachstrasse,23
1993,männlich,12205,Roswiesenstrasse,18
2014,männlich,3106,Saalsporthalle,27
1993,männlich,11104,Schauenbergstrasse,26
1993,männlich,3401,Schaufelbergerstrasse,14
2014,männlich,6111,Schindlerstrasse,21
1993,männlich,1301,Schipfe,3
2014,männlich,4401,Schlachthof,11
1993,männlich,4103,Schöntalstrasse,10
2014,männlich,12205,Roswiesenstrasse,11
1993,männlich,10109,Rütihof,19
1993,männlich,9108,Sackzelg,2
1993,männlich,11907,Sandacker,2
2014,männlich,9108,Sackzelg,6
2014,männlich,3401,Schaufelbergerstrasse,23
2014,männlich,4201,Schöneggplatz,9
2014,männlich,8101,Seebad Utoquai,12
2014,männlich,2111,Seeblickstrasse,5
2014,männlich,10109,Rütihof,21
1993,männlich,3106,Saalsporthalle,12
2014,männlich,11907,Sandacker,13
2014,männlich,11104,Schauenbergstrasse,45
1993,männlich,6111,Schindlerstrasse,16
2014,männlich,4103,Schöntalstrasse,14
2014,männlich,12204,Schürgistrasse,16
2014,männlich,11105,Schützenmatt,9
2014,männlich,1301,Schipfe,4
2014,männlich,10206,Schubertstrasse,24
1993,männlich,12204,Schürgistrasse,10
