Jahr,Geschlecht,statistischeZoneId,statistischeZoneName,Geburten
2014,weiblich,11903,Rickenstrasse,17
1993,weiblich,10101,Riedhof,11
1993,weiblich,8202,Riesbachstrasse,5
2014,weiblich,8202,Riesbachstrasse,7
2014,weiblich,11504,Marktplatz Oerlikon,12
2014,weiblich,12303,Mattenhof,41
2014,weiblich,11506,Messegelände,6
1993,weiblich,2401,Parkring,4
2014,weiblich,2401,Parkring,11
1993,weiblich,7206,Pflegerinnenschule,5
2014,weiblich,7105,Platte,5
2014,weiblich,10109,Rütihof,16
1993,weiblich,3106,Saalsporthalle,7
2014,weiblich,3106,Saalsporthalle,22
2014,weiblich,9108,Sackzelg,6
2014,weiblich,11907,Sandacker,14
2014,weiblich,2405,Rieterplatz,16
2014,weiblich,6307,Rigiblick,6
1993,weiblich,6306,Rigistrasse,13
2014,weiblich,10205,Röschibachstrasse,31
1993,weiblich,12205,Roswiesenstrasse,12
2014,weiblich,1302,Münsterhof,3
1993,weiblich,11510,Murwiesenstrasse,2
1993,weiblich,5104,Museum für Gestaltung,1
2014,weiblich,5104,Museum für Gestaltung,2
1993,weiblich,8304,Rehalp,15
1993,weiblich,2405,Rieterplatz,8
2014,weiblich,8301,Neumünster,3
2014,weiblich,1104,Oberdorf,2
1993,weiblich,6303,Ottikerstrasse,10
2014,weiblich,11104,Schauenbergstrasse,37
1993,weiblich,6111,Schindlerstrasse,12
1993,weiblich,4401,Schlachthof,18
1993,weiblich,4201,Schöneggplatz,16
1993,weiblich,10206,Schubertstrasse,15
2014,weiblich,12205,Roswiesenstrasse,19
1993,weiblich,10204,Rosengartenstrasse,8
2014,weiblich,7206,Pflegerinnenschule,15
1993,weiblich,5102,Quellenstrasse,27
2014,weiblich,8304,Rehalp,15
1993,weiblich,11105,Schützenmatt,6
2014,weiblich,11902,Schwandenholz,19
2014,weiblich,4201,Schöneggplatz,14
1993,weiblich,4103,Schöntalstrasse,8
1993,weiblich,6307,Rigiblick,5
2014,weiblich,1403,Selnaustrasse,3
2014,weiblich,1402,Sihlporte,1
1993,weiblich,4206,Sihlpost,8
2014,weiblich,4206,Sihlpost,12
1993,weiblich,11104,Schauenbergstrasse,21
1993,weiblich,3401,Schaufelbergerstrasse,20
2014,weiblich,3401,Schaufelbergerstrasse,22
2014,weiblich,6111,Schindlerstrasse,24
1993,weiblich,1301,Schipfe,1
1993,weiblich,11902,Schwandenholz,13
2014,weiblich,8101,Seebad Utoquai,8
1993,weiblich,1403,Selnaustrasse,3
1993,weiblich,6106,Seminarstrasse,8
1993,weiblich,7102,Sonnenbad,3
1993,weiblich,11505,Stadthof,9
1993,weiblich,5202,Technopark,1
1993,weiblich,3408,Sihlhölzli,8
2014,weiblich,3408,Sihlhölzli,18
1993,weiblich,1402,Sihlporte,1
2014,weiblich,2303,Sihlweidstrasse,11
1993,weiblich,7202,Sonnenberg,4
2014,weiblich,8103,Tiefenbrunnen,20
2014,weiblich,7407,Trichtenhausen,6
1993,weiblich,3306,Triemli,8
2014,weiblich,6306,Rigistrasse,9
2014,weiblich,10204,Rosengartenstrasse,18
1993,weiblich,10109,Rütihof,23
2014,weiblich,4401,Schlachthof,9
2014,weiblich,4103,Schöntalstrasse,20
2014,weiblich,11105,Schützenmatt,11
2014,weiblich,12201,Tulpenstrasse,13
1993,weiblich,3303,Uetliberg,3
2014,weiblich,4205,Volkshaus,13
1993,weiblich,10108,Waidbad,5
2014,weiblich,7202,Sonnenberg,5
1993,weiblich,1303,Stadthaus,1
1993,weiblich,3304,Strassenverkehrsamt,4
1993,weiblich,6108,Stüssistrasse,14
2014,weiblich,2111,Seeblickstrasse,4
2014,weiblich,6106,Seminarstrasse,4
1993,weiblich,2303,Sihlweidstrasse,6
1993,weiblich,9108,Sackzelg,4
1993,weiblich,11907,Sandacker,7
2014,weiblich,1301,Schipfe,2
2014,weiblich,5202,Technopark,22
1993,weiblich,10104,Werdinsel,12
2014,weiblich,10104,Werdinsel,14
2014,weiblich,11103,Zehntenhausplatz,42
1993,weiblich,6105,Steinkluppe,7
2014,weiblich,6105,Steinkluppe,10
2014,weiblich,3304,Strassenverkehrsamt,9
2014,weiblich,6108,Stüssistrasse,20
2014,weiblich,7104,Universitätsspital,5
2014,weiblich,3306,Triemli,8
1993,weiblich,12201,Tulpenstrasse,8
1993,weiblich,7104,Universitätsspital,9
1993,weiblich,2110,Verenastrasse,4
2014,weiblich,7106,Zoo,1
1993,weiblich,10203,Zschokkestrasse,7
1993,weiblich,3406,Zwinglihaus,25
2014,weiblich,9211,Zwyssigstrasse,11
2014,weiblich,10206,Schubertstrasse,27
1993,weiblich,12204,Schürgistrasse,12
2014,weiblich,12204,Schürgistrasse,11
1993,weiblich,4102,Werdplatz,1
1993,weiblich,1102,Zentralbibliothek,6
2014,weiblich,2110,Verenastrasse,3
2014,weiblich,10108,Waidbad,9
1993,weiblich,10201,Waidspital,4
2014,weiblich,10201,Waidspital,9
1993,weiblich,2106,Waschanstalt,1
1993,weiblich,9207,Werdhölzli,12
1993,weiblich,8101,Seebad Utoquai,8
1993,weiblich,2111,Seeblickstrasse,3
1993,weiblich,1101,Zähringerstrasse,3
2014,weiblich,7102,Sonnenbad,5
2014,weiblich,11505,Stadthof,12
2014,weiblich,1102,Zentralbibliothek,5
1993,weiblich,9104,Zollfreilager,7
2014,weiblich,9104,Zollfreilager,17
2014,weiblich,10203,Zschokkestrasse,15
1993,weiblich,9211,Zwyssigstrasse,4
1993,weiblich,8103,Tiefenbrunnen,12
1993,weiblich,7407,Trichtenhausen,4
2014,weiblich,3303,Uetliberg,9
1993,weiblich,4205,Volkshaus,12
2014,weiblich,2106,Waschanstalt,3
2014,weiblich,9207,Werdhölzli,2
2014,weiblich,4102,Werdplatz,4
2014,weiblich,1101,Zähringerstrasse,2
1993,weiblich,11103,Zehntenhausplatz,15
2014,weiblich,3406,Zwinglihaus,16
